question_id,assumption_id,priority,research_question,decision_affected,supporting_result,disconfirming_result,preferred_source_type,evidence_standard,planned_queries,search_scope_and_stopping_rule,owner,status,last_updated
"RQ-001","A-001","high","Does a measurable population of U.S. NAICS 54 employer firms with 10–99 employees exist?","Whether the project has a reproducible provisional research cohort.","An official table reports a nontrivial firm population for the exact industry, geography, year, and enterprise-size bands.","The population is absent, too small to recruit, or cannot be reproduced from an authoritative source.","U.S. Census administrative statistics with definitions and size bands.","Original table opened; unit, geography, industry, year, bands, aggregation, and limitations recorded.","site:census.gov SUSB 2022 NAICS 54 enterprise employment size; search for revisions or errata","Stop after the current SUSB table, method page, release note, and revision notice are checked and the aggregation is reproducible.","student and human reviewer","context answered; cohort fit open","2026-08-12"
"RQ-002","A-002","high","Are firms with 20–99 employees more ready than firms with 10–19 employees for this sprint?","Whether to prioritize 20–99 in research recruitment and later messaging.","Direct observations show more qualifying handoffs, usable evidence, sponsor capacity, and buying behavior in 20–99 firms.","10–19 firms qualify at the same or a higher rate, or size does not predict readiness after operational qualifiers are applied.","Authorized interviews and de-identified workflow observations; official size data are context only.","Comparable observations across both size groups, using the same screener and explicit disconfirming cases.","lead response ownership by firm size professional services; small firm internal CRM workflow; AI adoption by firm size null or alternative explanations","Use official adoption data only to frame the hypothesis; stop the desk search after two independent current sources and resolve readiness through primary research.","student","open","2026-08-12"
"RQ-003","A-007","high","Which role recognizes the problem, controls workflow changes, and can authorize a diagnostic sprint?","Primary buyer, website voice, CTA recipient, and buying-group map.","At least two independent participants in one role describe authority, a recent trigger, and a plausible evaluation or purchase process.","Authority is distributed, another role owns the decision, or no named role can authorize action.","Authorized role-diverse interviews plus organizational records or role descriptions.","Evidence must distinguish problem experiencer, process owner, influencer, economic buyer, and approver.","inbound lead assignment owner B2B professional services; sales operations versus owner lead routing; who owns CRM process in small firms","Review relevant B2B scholarship and contrary ownership models, then stop desk research because role prevalence requires primary evidence.","student","open","2026-08-12"
"RQ-004","A-004;A-005","high","Do qualifying firms show recurring breakdowns in capture, qualification, assignment, follow-up, handoff, or measurement?","Whether the proposed problem is real enough to map in the prototype.","Multiple independent firms show a recent, recurring, observable workflow gap in de-identified evidence.","Participants only agree in the abstract, events are isolated, or authorized records show a consistent process.","Authorized interviews and de-identified workflow evidence, supplemented by relevant peer-reviewed B2B research.","Recent incidents, timestamps, fields, statuses, and handoffs; no customer content; prevalence claims require representative evidence.","B2B lead follow-up null result; CRM solves lead routing without consulting; marketing sales handoff no performance effect","Stop desk research after the key mechanism studies and at least one contrary or narrower interpretation; leave prevalence open for primary research.","student","open","2026-08-12"
"RQ-005","A-003;A-005;A-006;A-016;A-017","high","Which observable conditions make a firm suitable for a bounded diagnostic?","Qualification rules and who the service is not for.","Recurring inbound inquiries, multiple participants, a usable system of record, de-identified evidence access, and a named owner predict feasible completion and action.","One or more qualifiers add no information, wrongly exclude feasible cases, or fail to predict usable evidence and implementation ownership.","Primary workflow walkthroughs and negative-case comparisons.","Apply the same screener, record exceptions, and require an observable relationship between each retained qualifier and feasibility.","lead-response diagnostic prerequisites; process redesign readiness owner data; small B2B workflow evidence access","Stop after every qualifier has at least two confirming and one deliberately sought disconfirming case, or mark it unresolved.","student","open","2026-08-12"
"RQ-006","A-012;A-013","high","Can a fixed-scope diagnostic and redesign create usable current-state and future-state artifacts?","Offer scope, deliverables, and whether a sprint is a plausible format.","Target-role participants identify the user, decision, and next action for each deliverable and prefer the bounded format to an alternative.","Artifacts are merely advisory, implementation needs dominate, or buyers prefer training, software, internal work, or open-ended support.","Peer-reviewed process literature plus moderated artifact walkthroughs with target roles.","Literature may support method components; commercial format and usefulness require direct user evidence.","business process redesign failed implementation; diagnostic consulting limitations; lead workflow artifact usability","Stop desk research after method support and implementation cautions are documented; decide commercial format only after walkthrough evidence.","student","partially supported; commercial format open","2026-08-12"
"RQ-007","A-004","medium","Does response timing materially affect outcomes in this segment, and what timing standard is appropriate?","Whether the offer or website may mention a response-time benchmark.","Segment-specific timestamp and disposition evidence supports a defined timing relationship after relevant confounders and uncertainty are documented.","No meaningful relationship appears, definitions vary, or the association disappears after context is considered.","Authorized de-identified operational data or a prospective test; older observational research is internal context only.","Exact population, outcome, timing definition, model, uncertainty, alternative explanations, and current period are required for a numeric public claim.","lead response time replication B2B; five minute lead response critique; response time qualification confounding","Stop after tracing the viral statistic to its original sources and one independent critique; do not prescribe a benchmark without target-specific data.","student and human reviewer","open; public multiplier rejected","2026-08-12"
"RQ-008","A-008;A-009","high","What observable event makes the problem important enough to address now?","Truthful trigger and urgency language.","Multiple participants describe a recent event followed by concrete evaluation, time allocation, budget, or process-change behavior.","No action followed, other priorities consistently displaced it, or the stated trigger is hypothetical.","Critical-incident interviews and authorized internal decision records.","Behavior is required; agreement that the topic is important does not establish urgency.","professional services lead response priority alternative; CRM process change postponed; small firm sales operations competing priorities","Stop secondary research after plausible alternatives are mapped; leave urgency unresolved until repeated first-party behavior is observed.","student","open","2026-08-12"
"RQ-009","A-010;A-011","high","Will a qualified buyer pay for diagnosis and redesign, and at what scope or price?","Commercial viability, price, and whether pricing belongs on the website.","An authorized paid pilot, accepted proposal, deposit, or transparent price test produces observable commitment.","Qualified participants decline at feasible prices, demand implementation at the same price, or only express nonbinding interest.","Behavioral offer experiments and a delivery-cost model.","Opinions alone are insufficient; test one clear scope and price at a time and record refusals.","fixed scope sales operations consulting price; professional services diagnostic willingness to pay; alternatives to paid CRM audit","Stop desk research after alternative price structures are mapped; require human approval before any external price or paid test.","human owner","open","2026-08-12"
"RQ-010","A-014","high","Is a request for a 20-minute fit review an appropriate first commitment?","Primary conversion and form design.","Representative participants understand the next step, accept the effort, and can complete a synthetic request without false expectations.","They prefer a lower-commitment artifact, misunderstand the educational status, or expect service acceptance or immediate advice.","Moderated usability tests and later controlled conversion behavior.","Measure comprehension, trust, task completion, and expectation accuracy; do not infer preference from general CTA guidance.","B2B fit-review friction; consultation CTA alternative checklist; dark pattern urgency appointment request","Stop desk research after alternatives and deception risks are identified; choose through prototype testing.","student and human reviewer","open; bounded prototype test allowed","2026-08-12"
"RQ-011","A-015;A-016","high","Where may AI assist without weakening factual accuracy, privacy, or human accountability?","AI scope, data boundaries, review controls, and whether AI belongs in the offer name.","A use-case data map shows low-risk inputs, a named human reviewer, verification, failure handling, and reversible operation.","The use requires sensitive data, unsupervised external action, unverifiable output, or controls disproportionate to educational value.","NIST guidance plus use-case-specific privacy, security, and human review.","Controls must be mapped to the actual use; guidance is not certification or proof of safety.","site:nist.gov NIST AI 600-1 verification provenance human oversight; generative AI workflow risk counterexamples","Stop after the official profile and relevant project data map are reviewed; escalate any sensitive or production use to a human decision.","human reviewer","policy context supported; use cases open","2026-08-12"
