claim_id,proposed_public_claim,express_or_implied,claim_type,evidence_ids,claim_status,permitted_wording,required_qualifier,reason_for_decision,reviewer,last_updated
"C-001","There are 102728 U.S. NAICS 54 employer firms with 10–99 employees in the 2022 SUSB aggregation.","express","market context","E-001","qualified","In 2022 Census SUSB data, the NAICS 54 10–99 employee bands contained 102728 employer firms; this count defines a research cohort, not demand.","Include 2022, United States, NAICS 54, employer firms, enterprise-size bands, calculated aggregation, and not-demand limitation.","The official data support the bounded count but not fit, readiness, or addressable demand.","human reviewer pending","2026-08-12"
"C-002","Most NAICS 54 employer establishments have fewer than 50 employees.","express","market context","E-002","qualified","In 2023 County Business Patterns, 957863 of 989182 NAICS 54 employer establishments, or 96.8%, were in employment-size classes below 50.","State that the unit is establishments, not firms, and that this is sector-structure context only.","The calculation is reproducible, but it does not establish B2B status, fit, pain, or demand and should not define the cohort by itself.","human reviewer pending","2026-08-12"
"C-003","AI is already used in sales and marketing by many U.S. firms.","both","adoption context","E-003","qualified","In a Census survey covering November 2025 through January 2026, 18% of firms reported AI use in a business function; among adopters, 52% reported use in sales and marketing.","Preserve both denominators and the reference period; do not say that 52% of all firms use AI in sales and marketing.","The study supplies dated national context but does not establish lead-response use, performance, readiness, or demand.","human reviewer pending","2026-08-12"
"C-004","Firms with 20–99 employees are more ready to buy this service than firms with 10–19 employees.","express","segment readiness","E-004;E-005","internal-hypothesis","Not approved for public use.","If discussed internally, say that 20–99 is a test hypothesis based partly on all-industry AI-adoption context, not buying evidence.","The sources measure reported AI use, not lead-response readiness or purchase intent.","human owner pending","2026-08-12"
"C-005","Lead qualification quality can affect sales follow-up behavior.","express","problem mechanism","E-006","qualified","A four-company B2B survey found that representatives who perceived better lead prequalification quality allocated more of their time to marketing leads.","Describe a reported association and preserve the four-company B2B scope; do not convert time allocation into conversion or revenue.","The source is relevant mechanism evidence but uses self-report and does not measure the target segment or causal outcomes.","human reviewer pending","2026-08-12"
"C-006","Effective B2B lead workflows include research, engagement, final qualification, and handoff, with design varying by context.","express","process mechanism","E-007","qualified","A qualitative B2B study identified prequalification and research, engagement and nurture, and final qualification and handoff, with different inbound, outbound, prospect, and account contexts.","Identify the evidence as qualitative and avoid implying a universal, causal, or uniquely correct process.","The study directly describes process components but has a small exploratory sample.","human reviewer pending","2026-08-12"
"C-007","Owning a CRM does not by itself create an effective lead-response process.","both","problem mechanism","E-008","qualified","CRM technology can support a process, but teams still need reliable practices for capturing, integrating, accessing, and using customer information.","Do not claim that CRM is ineffective or that process redesign causes a specified performance increase.","The study supports a qualified process-and-technology relationship, not an inbound-lead causal outcome.","human reviewer pending","2026-08-12"
"C-008","The sprint maps capture, qualification, assignment, follow-up, handoff, and measurement, then documents a future-state workflow and priorities.","express","offer description","E-007;E-008;E-012","approved","The proposed sprint maps how inquiries are captured, qualified, assigned, followed up, handed off, and measured, then documents a future-state workflow and implementation priorities.","Use proposed or fictional wherever the educational context could otherwise be unclear; describe work products, not proven outcomes.","This is the approved safe description of the fictional work scope, and the evidence makes the components plausible without proving results.","project-owner instruction; final human gate signoff pending","2026-08-12"
"C-009","AI-assisted work will be verified by people before it becomes a recommendation or public claim.","express","control commitment","E-010","approved","AI may assist with bounded analysis or drafting, but a named person reviews source fidelity, factual accuracy, context, and risk before use.","Do not claim NIST certification, compliance, complete accuracy, or eliminated risk.","The statement is a project control commitment consistent with NIST guidance, not a performance claim.","project-owner instruction; final human gate signoff pending","2026-08-12"
"C-010","Objective website claims require evidence before publication.","express","claims policy","E-011","approved","Every objective express or implied claim must have an appropriate reasonable basis before publication.","A citation is insufficient when the evidence does not match the exact claim, population, outcome, period, and overall net impression.","This accurately states the FTC policy baseline and the repository's stricter review rule.","project-owner instruction; legal review if needed","2026-08-12"
