assumption_id,category,assumption,why_it_matters,current_confidence,evidence_needed,intended_source_or_test,status,owner,last_updated
"A-001","segment","U.S. NAICS 54 employer firms with 10–99 employees are an appropriate first research cohort.","Defines recruiting, examples, copy, and qualification.","low","Direct evidence that qualifying firms experience the problem and can evaluate outside help; SUSB proves only cohort existence.","Structured interviews and de-identified workflow walkthroughs across the size bands.","open","student","2026-08-12"
"A-002","segment readiness","Firms with 20–99 employees are more ready than firms with 10–19 employees.","Could narrow the first website audience and reduce false-fit conversations.","low","Evidence that the larger bands more often have multiple handoffs, usable systems, a sponsor, and buying behavior.","Compare screener and interview results by size; BTOS adoption data are context only.","open","student","2026-08-12"
"A-003","business model","A B2B revenue model is a useful required qualifier.","The research mechanisms and proposed workflow assume organizational buying and handoffs.","medium","Evidence that B2B workflows and decision roles make the sprint more feasible or valuable than consumer workflows.","Apply the qualifier consistently and document counterexamples.","open","student","2026-08-12"
"A-004","problem","Recurring inbound inquiries are frequent enough in the target cohort to support diagnosis.","Without recurring events there may be too little evidence or benefit for a sprint.","low","Observed inquiry frequency, sources, timestamps, and dispositions from authorized de-identified records.","Critical-incident interviews and workflow evidence review.","open","student","2026-08-12"
"A-005","problem","Having at least two people touch a lead creates meaningful ownership or handoff risk.","This is central to the proposed process map and ownership matrix.","medium","Examples showing whether multi-person paths create observable gaps and whether the gaps matter.","Workflow walkthroughs and negative-case interviews.","open","student","2026-08-12"
"A-006","feasibility","A CRM, structured spreadsheet, ticketing system, or managed inbox provides enough evidence for the diagnostic.","The sprint needs an inspectable system of record without requiring production access.","low","Successful completion using de-identified timestamps, statuses, fields, and rules from different system types.","Artifact-based pilot exercises with synthetic or authorized de-identified data.","open","student and human reviewer","2026-08-12"
"A-007","buyer","An owner, revenue leader, or sales-operations leader recognizes the problem and can authorize the engagement.","Determines message, CTA, interview sample, and sales process.","low","Role-specific evidence about problem recognition, authority, budget, and decision participants.","Role-diverse interviews and buying-process mapping.","open","student","2026-08-12"
"A-008","trigger","A missed handoff, reporting gap, CRM change, team change, or volume change creates an active evaluation event.","A concrete trigger is needed for truthful urgency and relevant copy.","low","Recent critical incidents tied to actual search, budget, or process-change behavior.","Critical-incident interviews; do not accept hypothetical agreement as validation.","open","student","2026-08-12"
"A-009","urgency","Qualified firms consider the problem important enough to address now.","Without urgency, a call request is unlikely even if the problem is real.","low","Evidence of time allocation, executive attention, an active deadline, or money spent on an alternative.","Behavioral interviews and later conversion tests.","open","human owner","2026-08-12"
"A-010","willingness to pay","A qualified buyer will pay an external provider for diagnosis and workflow redesign.","Determines whether the fictional service represents a plausible commercial offer.","low","Observable commitment through a paid pilot, accepted proposal, deposit, or authorized price test.","Human-approved offer test; stated willingness alone is insufficient.","open","human owner","2026-08-12"
"A-011","price","A fixed price can be set that matches buyer value, delivery effort, and risk.","Affects qualification, page content, scope, and delivery feasibility.","low","Cost model plus behavior at a clearly stated scope and price.","Estimate delivery economics, then run one transparent price test at a time with approval.","open","human owner","2026-08-12"
"A-012","offer format","A fixed-scope sprint is preferable to software, training, staff augmentation, or open-ended consulting.","Controls deliverables, expectations, and website positioning.","low","Comparison against alternatives buyers actually used and artifact-usability feedback.","Alternative review during interviews and prototype walkthroughs.","open","student","2026-08-12"
"A-013","deliverables","The current-state map, ownership and qualification matrix, future workflow, playbook, and measurement plan are usable deliverables.","The safe offer promise depends on producing artifacts that enable action.","medium","Target-role participants must identify the user, decision, and next action for each artifact.","Moderated deliverable walkthroughs and later pilot retrospective.","open","student","2026-08-12"
"A-014","conversion","A request for a 20-minute fit review is the appropriate first website commitment.","Determines the primary funnel action and form design.","low","Representative-user evidence about comprehension, trust, effort, and next-step preference.","Moderated prototype test using synthetic submissions.","open","student and human reviewer","2026-08-12"
"A-015","AI positioning","Mentioning AI in the offer name improves relevance without implying automation, novelty, or guaranteed results.","The label may attract interest or create privacy, quality, and credibility objections.","low","Message-comprehension evidence and use-case-specific controls.","Compare reactions to AI-branded and process-first descriptions; document intended AI role.","open","student and human reviewer","2026-08-12"
"A-016","evidence access","Qualified firms will permit review of de-identified workflow evidence.","Without evidence access the diagnostic may depend on unreliable recollection.","low","Permission patterns and minimum-data feasibility across multiple firms.","Ask explicitly during interviews; test a no-customer-content evidence packet.","open","human owner","2026-08-12"
"A-017","implementation","A named process owner can implement or sponsor the proposed future-state priorities.","A useful design still fails if nobody owns adoption.","low","Evidence about authority, resources, change process, and post-sprint accountability.","Implementation-readiness interview and later pilot follow-up.","open","human owner","2026-08-12"
