evidence_id,question_id,assumption_id,source_title,author_or_organization,publisher,source_type,publication_or_revision_date,access_date,canonical_url_or_doi,exact_location,finding_summary,relationship_to_assumption,direct_or_inference,method_population_geography_period,limitations_conflicts_or_commercial_interest,independent_source_ids,checked_by,verification_status,last_updated
"E-001","RQ-001;RQ-002","A-001;A-002","2022 SUSB Annual Data: U.S. and States, NAICS, Detailed Employment Sizes","U.S. Census Bureau","U.S. Census Bureau","official administrative statistical table","2025-04-10","2026-08-12","https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx","United States NAICS 54 rows; enterprise employment size rows Total, 10–19, 20–49, and 50–99; columns Firms, Establishments, Employment, and Receipts. Sum the three detailed size rows for 10–99.","The sector total is 872305 employer firms, 974303 establishments, and 10152104 employees. The calculated 10–99 total is 102728 firms, 118829 establishments, 2476726 employees, and $580.2705 billion in receipts. This establishes cohort existence only.","context-only","direct","Annual compilation of U.S. employer businesses from the Census Business Register and related records; United States; 2022 reference year; industry by establishment and size by enterprise employment.","NAICS 54 is broad; enterprise size is not lead volume or complexity; historical data; the aggregation proves neither B2B status, problem prevalence, fit, AI use, urgency, nor demand.","E-002","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-002","RQ-001","A-001","County Business Patterns: 2023","U.S. Census Bureau","U.S. Census Bureau","official administrative statistical dataset","2025-06-26","2026-08-12","https://www.census.gov/data/datasets/2023/econ/cbp/2023-cbp.html","National NAICS 54 employer-establishment rows by employment-size class: Total, fewer than 5, 5–9, 10–19, and 20–49.","Counts are 989182 total establishments; 706067 under 5; 124228 with 5–9; 76923 with 10–19; and 50645 with 20–49. The four below-50 classes total 957863, or 96.8% of the sector total.","context-only","direct","Administrative statistics for U.S. employer establishments; United States; NAICS 54; 2023 reference year.","Establishments are not firms or enterprises. The data do not identify B2B models, lead workflows, readiness, pain, or demand. SUSB is preferred for the provisional firm-size boundary.","E-001","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-003","RQ-002;RQ-011","A-002;A-015","The Microstructure of AI Diffusion: Evidence from Firms, Business Functions, and Worker Tasks","Kathryn Bonney; Cory Breaux; Emin Dinlersoz; Lucia Foster; John Haltiwanger; Aditya Pande","U.S. Census Bureau Center for Economic Studies","official academic working paper using nationally representative survey data","2026-04","2026-08-12","https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html","Abstract, sentences reporting overall firm use, employment-weighted use, functional breadth, and Sales and Marketing use among adopters.","During November 2025 through January 2026, 18% of firms reported AI use in a business function and 32% on an employment-weighted basis. Among adopting firms, 52% reported use in Sales and Marketing.","context-only","direct","Nationally representative 2026 AI supplement to the U.S. Census Business Trends and Outlook Survey; U.S. firms; November 2025 through January 2026.","Self-reported; the 52% denominator is adopting firms, not all firms; sales and marketing is broad; correlations with performance are not causal; no measure of lead-response quality, service demand, or the proposed segment.","E-004;E-005","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-004","RQ-002","A-002;A-015","Large Firms With at Least 20 Employees Biggest AI Users","Adam Grundy; Cory Breaux; Dhanapati Khatiwoda","U.S. Census Bureau","official statistical explainer","2026-05-26","2026-08-12","https://www.census.gov/library/stories/2026/05/ai-use-businesses.html","Sections U.S. Business AI Use and Future Improvements to BTOS; paragraph reporting fewer-than-20% use among firms with four or fewer employees and paragraph identifying the November 17, 2025 question revision.","Overall reported AI use hovered between 17% and 20% from December 2025 through May 2026, and fewer than 20% of firms with four or fewer employees reported use. Census changed the core question on November 17, 2025 to ask about use in any business function.","qualifies","direct","Nationally representative biweekly BTOS data; U.S. businesses; December 14, 2025 through May 3, 2026.","All-industry self-report; question wording changed; no lead-response, readiness, or demand measure; comparisons across the instrument change require caution.","E-003;E-005","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-005","RQ-002","A-002","The AI Buildout and the Economy: Publicly Available Data to Assess AI's Impact","Paul E. Soto; Mason Thieu; Jeffrey S. Allen","Board of Governors of the Federal Reserve System","official analytical note reproducing Census survey estimates","2026-07-17","2026-08-12","https://doi.org/10.17016/2380-7172.4119","Figure 8, AI Adoption Rates by Firm Size; accessible-data table row June 14, 2026 and note defining a four-period moving average.","June 14, 2026 moving-average estimates were 19.98% for firms with 10–19 employees, 21.58% for 20–49, and 25.02% for 50–99. This supports testing, but does not establish, a 20–99 readiness hypothesis.","context-only","inference","Federal Reserve presentation of nationally representative Census BTOS estimates; all U.S. industries; share reporting AI use in the prior two weeks; four-period moving average through June 14, 2026.","All-industry descriptive association; reported use does not measure intensity, lead-workflow complexity, readiness, causality, purchase intent, or demand. Underlying data overlap with E-003 and E-004.","E-003;E-004","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-006","RQ-003;RQ-004;RQ-005","A-004;A-005;A-007","The Sales Lead Black Hole: On Sales Reps' Follow-Up of Marketing Leads","Gaurav Sabnis; Subimal Chatterjee; Rajdeep Grewal; Gary L. Lilien","Journal of Marketing","peer-reviewed journal article","2013-01","2026-08-12","https://doi.org/10.1509/jm.10.0047","Author-accepted manuscript pp. 1, 15–16, 26–28, and 45: abstract; method and sample; model results; limitations; Tables 2–3. Accessible manuscript: https://opus.lib.uts.edu.au/bitstream/10453/117150/4/2-s2.0-84873283649.pdf","Higher perceived prequalification quality was associated with a larger share of sales-representative time allocated to marketing leads; effects of managerial tracking varied with representative context.","qualifies","direct","Survey at four established B2B firms in scientific instruments, chemicals, copiers, and computers; 562 of 2666 questionnaires returned; main analysis used 461 representatives reporting some marketing-lead time.","Self-reported perceptions and time allocation; cross-sectional; mature large firms; not conversion or revenue; excluding zero-follow-up respondents may bias results. The 70%-ignored statement is cited industry background, not this study's result.","E-007;E-008","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-007","RQ-003;RQ-004;RQ-005;RQ-006","A-005;A-007;A-012;A-013","Toward a Contextualized Understanding of Inside Sales: The Role of Sales Development in Effective Lead Funnel Management","Harri Terho; Anna Salonen; Meri Yrjänen","Journal of Business & Industrial Marketing","peer-reviewed qualitative journal article","2023","2026-08-12","https://doi.org/10.1108/JBIM-12-2021-0596","Open manuscript pp. 1, 5–6, 11, and 13: abstract; methodology and Table 1; discussion of results and Figure 3; study limitations. Accessible manuscript: https://www.utupub.fi/bitstreams/6295752f-553e-4877-b5d3-7c73ec6d3a06/download","The study identifies three lead-development stages, four operating contexts, and a need for shared targets and information visibility. It supports context-specific workflow mapping rather than one universal owner or cadence.","qualifies","direct","Abductive field study using nine individual interviews and one focus group with 13 sales-development practitioners or leaders from eight B2B firms; included SMEs and several SaaS firms.","Small exploratory, SaaS-heavy sample; practitioner accounts; no causal outcome, population prevalence, universal owner, or universal response-time threshold.","E-006;E-008","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-008","RQ-004;RQ-006","A-006;A-012;A-013","The Role of Relational Information Processes and Technology Use in Customer Relationship Management","Satish Jayachandran; Subhash Sharma; Peter Kaufman; Pushkala Raman","Journal of Marketing","peer-reviewed journal article","2005-10","2026-08-12","https://doi.org/10.1509/jmkg.2005.69.4.177","Publisher abstract; published pp. 182–183, 188–190, and 190–191: sample and measures; hypothesis results, Figure 2, and discussion; limitations.","Relational information processes were associated with reported customer-relationship performance. CRM technology had no significant direct effect but strengthened the process-performance association.","qualifies","direct","Cross-sectional survey of 172 senior marketing, sales, and customer-service managers at large U.S. business units; about 151 complete cases in the main analysis; 69.5% B2B and 50.3% services.","Self-report and common-method risk; large firms; no objective conversion or revenue outcome; customer management is broader than inbound lead response; association is not causation.","E-006;E-007","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-009","RQ-007","A-004","The Short Life of Online Sales Leads","James B. Oldroyd; Kristina McElheran; David Elkington","Harvard Business Review","managerial article reporting observational original research","2011-03","2026-08-12","https://hbr.org/2011/03/the-short-life-of-online-sales-leads","Charts Response Times to Web-Generated Leads and Effect of Response Time on Lead Qualification; accompanying paragraphs defining the audits and qualification outcome.","The article reports delayed or missing responses in a 2241-company audit and a strong association between earlier attempts and qualification in a separate lead dataset. It can motivate measurement, not a universal benchmark.","qualifies","direct","Audit of 2241 U.S. companies plus observational data on about 1.25 million web leads at 29 B2C and 13 B2B firms; data collected by or with a lead-response software company before 2011.","Brief methods; old mixed-market data; no professional-services subgroup; observational confounding; qualification is not revenue; one author led a vendor that sold related technology. No equivalent current target-segment design was located.","","coding-agent trace; human peer retrace pending","traced","2026-08-12"
"E-010","RQ-011","A-015;A-016","Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile, NIST AI 600-1","Chloe Autio; Reva Schwartz; Jesse Dunietz; Shomik Jain; Martin Stanley; Elham Tabassi; Patrick Hall; Kamie Roberts","National Institute of Standards and Technology","official voluntary risk-management guidance","2024-07-26","2026-08-12","https://doi.org/10.6028/NIST.AI.600-1","Executive Summary; Section 2 on Generative AI Risks; Appendix A suggested actions across Govern, Map, Measure, and Manage.","The profile supports documenting provenance and limitations, testing and verifying outputs in context, assigning human oversight, and monitoring failures and third-party risks.","supports","direct","Cross-sector companion profile to NIST AI RMF 1.0; voluntary guidance for organizations designing, developing, deploying, or using generative AI.","Not a certification, legal opinion, or proof that this workflow is safe; controls must be tailored to the use case. NIST does not approve the fictional offer.","","coding-agent trace; human peer retrace pending","traced","2026-08-12"
